,order_id,stock_id,matched_order_dims,order_dims_values,stock_dims_values,order_volume_m3,stock_volume_m3,utilization_ratio
266,O009,S008,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[2.53, 1.52, 1.22]",0.5478,4.691631999999999,0.11676107589001014
132,O006,S004,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.66, 1.26, 1.31]",0.6914560000000001,6.041196,0.11445680623505677
133,O006,S004,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.66, 1.26, 1.31]",0.691456,6.041196,0.11445680623505676
63,O003,S013,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[2.63, 1.34, 1.27]",0.5103840000000001,4.475734,0.11403358644637954
62,O003,S013,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[2.63, 1.34, 1.27]",0.510384,4.475734,0.11403358644637951
226,O008,S004,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.66, 1.26, 1.31]",0.68614,6.041196,0.11357684802810568
227,O008,S004,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.66, 1.26, 1.31]",0.68614,6.041196,0.11357684802810568
67,O003,S015,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.02, 1.22, 1.22]",0.5103840000000001,4.494968,0.11354563591998876
66,O003,S015,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.02, 1.22, 1.22]",0.510384,4.494968,0.11354563591998874
196,O007,S009,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[2.52, 1.13, 1.2]",0.3814720000000001,3.4171199999999997,0.11163552933464442
197,O007,S009,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[2.52, 1.13, 1.2]",0.38147200000000003,3.4171199999999997,0.11163552933464439
53,O003,S008,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[2.53, 1.52, 1.22]",0.5103840000000001,4.691631999999999,0.10878602584345919
52,O003,S008,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[2.53, 1.52, 1.22]",0.510384,4.691631999999999,0.10878602584345917
162,O006,S012,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[3.96, 1.61, 1.02]",0.6914560000000001,6.503112000000001,0.10632694008653087
160,O006,S012,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.96, 1.61, 1.02]",0.6914560000000001,6.503112000000001,0.10632694008653087
163,O006,S012,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[3.96, 1.61, 1.02]",0.691456,6.503112000000001,0.10632694008653086
161,O006,S012,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.96, 1.61, 1.02]",0.691456,6.503112000000001,0.10632694008653086
166,O006,S014,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.7, 1.19, 1.48]",0.6914560000000001,6.516439999999999,0.10610947081535319
167,O006,S014,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.7, 1.19, 1.48]",0.691456,6.516439999999999,0.10610947081535317
168,O006,S014,"('breadth_m', 'height_m', 'length_m')","[0.74, 0.64, 1.46]","[3.7, 1.19, 1.48]",0.691456,6.516439999999999,0.10610947081535317
169,O006,S014,"('height_m', 'breadth_m', 'length_m')","[0.64, 0.74, 1.46]","[3.7, 1.19, 1.48]",0.691456,6.516439999999999,0.10610947081535317
242,O008,S012,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.96, 1.61, 1.02]",0.68614,6.503112000000001,0.1055094853048817
243,O008,S012,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.96, 1.61, 1.02]",0.68614,6.503112000000001,0.1055094853048817
246,O008,S014,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.7, 1.19, 1.48]",0.68614,6.516439999999999,0.10529368796459417
247,O008,S014,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.7, 1.19, 1.48]",0.68614,6.516439999999999,0.10529368796459417
262,O009,S006,"('breadth_m', 'length_m', 'height_m')","[0.55, 1.66, 0.6]","[3.13, 1.76, 0.95]",0.5478,5.233359999999999,0.10467462586177906
263,O009,S006,"('height_m', 'length_m', 'breadth_m')","[0.6, 1.66, 0.55]","[3.13, 1.76, 0.95]",0.5478,5.233359999999999,0.10467462586177906
261,O009,S006,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.13, 1.76, 0.95]",0.5478,5.233359999999999,0.10467462586177906
260,O009,S006,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.13, 1.76, 0.95]",0.5478,5.233359999999999,0.10467462586177906
275,O009,S011,"('height_m', 'length_m', 'breadth_m')","[0.6, 1.66, 0.55]","[2.52, 1.76, 1.22]",0.5478,5.410944,0.1012392661982826
272,O009,S011,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[2.52, 1.76, 1.22]",0.5478,5.410944,0.1012392661982826
273,O009,S011,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[2.52, 1.76, 1.22]",0.5478,5.410944,0.1012392661982826
274,O009,S011,"('breadth_m', 'length_m', 'height_m')","[0.55, 1.66, 0.6]","[2.52, 1.76, 1.22]",0.5478,5.410944,0.1012392661982826
49,O003,S006,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.13, 1.76, 0.95]",0.5103840000000001,5.233359999999999,0.09752510815231517
48,O003,S006,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.13, 1.76, 0.95]",0.510384,5.233359999999999,0.09752510815231515
179,O007,S003,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.09, 1.28, 0.99]",0.3814720000000001,3.915648,0.09742244450982317
59,O003,S011,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[2.52, 1.76, 1.22]",0.5103840000000001,5.410944,0.09432439145553902
58,O003,S011,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[2.52, 1.76, 1.22]",0.510384,5.410944,0.09432439145553899
152,O006,S010,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[3.31, 1.49, 1.49]",0.6914560000000001,7.3485309999999995,0.09409445234700652
150,O006,S010,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.31, 1.49, 1.49]",0.6914560000000001,7.3485309999999995,0.09409445234700652
151,O006,S010,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.31, 1.49, 1.49]",0.691456,7.3485309999999995,0.0940944523470065
155,O006,S010,"('height_m', 'breadth_m', 'length_m')","[0.64, 0.74, 1.46]","[3.31, 1.49, 1.49]",0.691456,7.3485309999999995,0.0940944523470065
154,O006,S010,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[3.31, 1.49, 1.49]",0.691456,7.3485309999999995,0.0940944523470065
153,O006,S010,"('breadth_m', 'height_m', 'length_m')","[0.74, 0.64, 1.46]","[3.31, 1.49, 1.49]",0.691456,7.3485309999999995,0.0940944523470065
238,O008,S010,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.31, 1.49, 1.49]",0.68614,7.3485309999999995,0.09337104245732923
239,O008,S010,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.31, 1.49, 1.49]",0.68614,7.3485309999999995,0.09337104245732923
256,O009,S004,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.66, 1.26, 1.31]",0.5478,6.041196,0.09067740891042103
257,O009,S004,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.66, 1.26, 1.31]",0.5478,6.041196,0.09067740891042103
210,O007,S013,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[2.63, 1.34, 1.27]",0.3814720000000001,4.475734,0.08523115984998217
212,O007,S013,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[2.63, 1.34, 1.27]",0.3814720000000001,4.475734,0.08523115984998217
211,O007,S013,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[2.63, 1.34, 1.27]",0.38147200000000003,4.475734,0.08523115984998215
213,O007,S013,"('height_m', 'length_m', 'breadth_m')","[0.26, 1.31, 1.12]","[2.63, 1.34, 1.27]",0.38147200000000003,4.475734,0.08523115984998215
218,O007,S015,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.02, 1.22, 1.22]",0.3814720000000001,4.494968,0.08486645511158257
219,O007,S015,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[3.02, 1.22, 1.22]",0.38147200000000003,4.494968,0.08486645511158256
45,O003,S004,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.66, 1.26, 1.31]",0.5103840000000001,6.041196,0.084483933313867
44,O003,S004,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.66, 1.26, 1.31]",0.510384,6.041196,0.08448393331386697
276,O009,S012,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.96, 1.61, 1.02]",0.5478,6.503112000000001,0.08423659318799982
277,O009,S012,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.96, 1.61, 1.02]",0.5478,6.503112000000001,0.08423659318799982
281,O009,S014,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.7, 1.19, 1.48]",0.5478,6.516439999999999,0.08406430504999662
280,O009,S014,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.7, 1.19, 1.48]",0.5478,6.516439999999999,0.08406430504999662
122,O006,S001,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.61, 1.53, 1.5]",0.6914560000000001,8.28495,0.0834592846064249
124,O006,S001,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[3.61, 1.53, 1.5]",0.6914560000000001,8.28495,0.0834592846064249
123,O006,S001,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.61, 1.53, 1.5]",0.691456,8.28495,0.08345928460642489
127,O006,S001,"('height_m', 'breadth_m', 'length_m')","[0.64, 0.74, 1.46]","[3.61, 1.53, 1.5]",0.691456,8.28495,0.08345928460642489
125,O006,S001,"('breadth_m', 'height_m', 'length_m')","[0.74, 0.64, 1.46]","[3.61, 1.53, 1.5]",0.691456,8.28495,0.08345928460642489
126,O006,S001,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[3.61, 1.53, 1.5]",0.691456,8.28495,0.08345928460642489
220,O008,S001,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.61, 1.53, 1.5]",0.68614,8.28495,0.08281763921327226
221,O008,S001,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.61, 1.53, 1.5]",0.68614,8.28495,0.08281763921327226
192,O007,S008,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[2.53, 1.52, 1.22]",0.3814720000000001,4.691631999999999,0.08130901997428616
194,O007,S008,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[2.53, 1.52, 1.22]",0.3814720000000001,4.691631999999999,0.08130901997428616
195,O007,S008,"('height_m', 'length_m', 'breadth_m')","[0.26, 1.31, 1.12]","[2.53, 1.52, 1.22]",0.38147200000000003,4.691631999999999,0.08130901997428615
193,O007,S008,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[2.53, 1.52, 1.22]",0.38147200000000003,4.691631999999999,0.08130901997428615
142,O006,S007,"('breadth_m', 'length_m', 'height_m')","[0.74, 1.46, 0.64]","[3.92, 1.54, 1.41]",0.6914560000000001,8.511888,0.0812341515771824
140,O006,S007,"('length_m', 'breadth_m', 'height_m')","[1.46, 0.74, 0.64]","[3.92, 1.54, 1.41]",0.6914560000000001,8.511888,0.0812341515771824
143,O006,S007,"('height_m', 'length_m', 'breadth_m')","[0.64, 1.46, 0.74]","[3.92, 1.54, 1.41]",0.691456,8.511888,0.08123415157718239
141,O006,S007,"('length_m', 'height_m', 'breadth_m')","[1.46, 0.64, 0.74]","[3.92, 1.54, 1.41]",0.691456,8.511888,0.08123415157718239
233,O008,S007,"('length_m', 'height_m', 'breadth_m')","[1.82, 0.65, 0.58]","[3.92, 1.54, 1.41]",0.68614,8.511888,0.0806096132843853
232,O008,S007,"('length_m', 'breadth_m', 'height_m')","[1.82, 0.58, 0.65]","[3.92, 1.54, 1.41]",0.68614,8.511888,0.0806096132843853
61,O003,S012,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.96, 1.61, 1.02]",0.5103840000000001,6.503112000000001,0.07848304011986877
60,O003,S012,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.96, 1.61, 1.02]",0.510384,6.503112000000001,0.07848304011986874
65,O003,S014,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.7, 1.19, 1.48]",0.5103840000000001,6.516439999999999,0.07832251965797278
64,O003,S014,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.7, 1.19, 1.48]",0.510384,6.516439999999999,0.07832251965797275
271,O009,S010,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.31, 1.49, 1.49]",0.5478,7.3485309999999995,0.07454551120489251
270,O009,S010,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.31, 1.49, 1.49]",0.5478,7.3485309999999995,0.07454551120489251
185,O007,S006,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[3.13, 1.76, 0.95]",0.3814720000000001,5.233359999999999,0.07289236742742715
184,O007,S006,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.13, 1.76, 0.95]",0.3814720000000001,5.233359999999999,0.07289236742742715
206,O007,S011,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[2.52, 1.76, 1.22]",0.3814720000000001,5.410944,0.07050008279516479
204,O007,S011,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[2.52, 1.76, 1.22]",0.3814720000000001,5.410944,0.07050008279516479
205,O007,S011,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[2.52, 1.76, 1.22]",0.38147200000000003,5.410944,0.07050008279516477
207,O007,S011,"('height_m', 'length_m', 'breadth_m')","[0.26, 1.31, 1.12]","[2.52, 1.76, 1.22]",0.38147200000000003,5.410944,0.07050008279516477
57,O003,S010,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.31, 1.49, 1.49]",0.5103840000000001,7.3485309999999995,0.0694538813267577
56,O003,S010,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.31, 1.49, 1.49]",0.510384,7.3485309999999995,0.06945388132675769
251,O009,S001,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.61, 1.53, 1.5]",0.5478,8.28495,0.06611989209349482
250,O009,S001,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.61, 1.53, 1.5]",0.5478,8.28495,0.06611989209349482
264,O009,S007,"('length_m', 'breadth_m', 'height_m')","[1.66, 0.55, 0.6]","[3.92, 1.54, 1.41]",0.5478,8.511888,0.06435704981080577
265,O009,S007,"('length_m', 'height_m', 'breadth_m')","[1.66, 0.6, 0.55]","[3.92, 1.54, 1.41]",0.5478,8.511888,0.06435704981080577
180,O007,S004,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.66, 1.26, 1.31]",0.3814720000000001,6.041196,0.0631451123254402
181,O007,S004,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[3.66, 1.26, 1.31]",0.38147200000000003,6.041196,0.06314511232544019
182,O007,S004,"('breadth_m', 'height_m', 'length_m')","[1.12, 0.26, 1.31]","[3.66, 1.26, 1.31]",0.38147200000000003,6.041196,0.06314511232544019
183,O007,S004,"('height_m', 'breadth_m', 'length_m')","[0.26, 1.12, 1.31]","[3.66, 1.26, 1.31]",0.38147200000000003,6.041196,0.06314511232544019
40,O003,S001,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.61, 1.53, 1.5]",0.5103840000000001,8.28495,0.06160375138051528
39,O003,S001,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.61, 1.53, 1.5]",0.510384,8.28495,0.06160375138051526
51,O003,S007,"('length_m', 'height_m', 'breadth_m')","[1.96, 0.31, 0.84]","[3.92, 1.54, 1.41]",0.5103840000000001,8.511888,0.059961315280464215
50,O003,S007,"('length_m', 'breadth_m', 'height_m')","[1.96, 0.84, 0.31]","[3.92, 1.54, 1.41]",0.510384,8.511888,0.0599613152804642
209,O007,S012,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[3.96, 1.61, 1.02]",0.3814720000000001,6.503112000000001,0.05865991543740905
208,O007,S012,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.96, 1.61, 1.02]",0.3814720000000001,6.503112000000001,0.05865991543740905
214,O007,S014,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.7, 1.19, 1.48]",0.3814720000000001,6.516439999999999,0.05853993898509004
215,O007,S014,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[3.7, 1.19, 1.48]",0.38147200000000003,6.516439999999999,0.05853993898509003
216,O007,S014,"('breadth_m', 'height_m', 'length_m')","[1.12, 0.26, 1.31]","[3.7, 1.19, 1.48]",0.38147200000000003,6.516439999999999,0.05853993898509003
217,O007,S014,"('height_m', 'breadth_m', 'length_m')","[0.26, 1.12, 1.31]","[3.7, 1.19, 1.48]",0.38147200000000003,6.516439999999999,0.05853993898509003
198,O007,S010,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.31, 1.49, 1.49]",0.3814720000000001,7.3485309999999995,0.05191132758370348
200,O007,S010,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[3.31, 1.49, 1.49]",0.3814720000000001,7.3485309999999995,0.05191132758370348
202,O007,S010,"('height_m', 'length_m', 'breadth_m')","[0.26, 1.31, 1.12]","[3.31, 1.49, 1.49]",0.38147200000000003,7.3485309999999995,0.051911327583703475
201,O007,S010,"('breadth_m', 'height_m', 'length_m')","[1.12, 0.26, 1.31]","[3.31, 1.49, 1.49]",0.38147200000000003,7.3485309999999995,0.051911327583703475
199,O007,S010,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[3.31, 1.49, 1.49]",0.38147200000000003,7.3485309999999995,0.051911327583703475
203,O007,S010,"('height_m', 'breadth_m', 'length_m')","[0.26, 1.12, 1.31]","[3.31, 1.49, 1.49]",0.38147200000000003,7.3485309999999995,0.051911327583703475
174,O007,S001,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[3.61, 1.53, 1.5]",0.3814720000000001,8.28495,0.04604397129735244
172,O007,S001,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.61, 1.53, 1.5]",0.3814720000000001,8.28495,0.04604397129735244
176,O007,S001,"('height_m', 'length_m', 'breadth_m')","[0.26, 1.31, 1.12]","[3.61, 1.53, 1.5]",0.38147200000000003,8.28495,0.04604397129735243
173,O007,S001,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[3.61, 1.53, 1.5]",0.38147200000000003,8.28495,0.04604397129735243
175,O007,S001,"('breadth_m', 'height_m', 'length_m')","[1.12, 0.26, 1.31]","[3.61, 1.53, 1.5]",0.38147200000000003,8.28495,0.04604397129735243
177,O007,S001,"('height_m', 'breadth_m', 'length_m')","[0.26, 1.12, 1.31]","[3.61, 1.53, 1.5]",0.38147200000000003,8.28495,0.04604397129735243
186,O007,S007,"('length_m', 'breadth_m', 'height_m')","[1.31, 1.12, 0.26]","[3.92, 1.54, 1.41]",0.3814720000000001,8.511888,0.04481637916288373
188,O007,S007,"('breadth_m', 'length_m', 'height_m')","[1.12, 1.31, 0.26]","[3.92, 1.54, 1.41]",0.3814720000000001,8.511888,0.04481637916288373
187,O007,S007,"('length_m', 'height_m', 'breadth_m')","[1.31, 0.26, 1.12]","[3.92, 1.54, 1.41]",0.38147200000000003,8.511888,0.044816379162883724
190,O007,S007,"('height_m', 'length_m', 'breadth_m')","[0.26, 1.31, 1.12]","[3.92, 1.54, 1.41]",0.38147200000000003,8.511888,0.044816379162883724
191,O007,S007,"('height_m', 'breadth_m', 'length_m')","[0.26, 1.12, 1.31]","[3.92, 1.54, 1.41]",0.38147200000000003,8.511888,0.044816379162883724
189,O007,S007,"('breadth_m', 'height_m', 'length_m')","[1.12, 0.26, 1.31]","[3.92, 1.54, 1.41]",0.38147200000000003,8.511888,0.044816379162883724
