order_id,stock_id,matched_order_dims,order_dims_values,stock_dims_values
O009,S013,"('breadth_m', 'length_m', 'height_m')","[1.19, 1.68, 0.52]","[3.53, 1.89, 1.33]"
O009,S013,"('height_m', 'length_m', 'breadth_m')","[0.52, 1.68, 1.19]","[3.53, 1.89, 1.33]"
O009,S014,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.41, 1.25, 0.84]"
O009,S015,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.19, 0.52]","[3.32, 1.6, 1.33]"
O009,S015,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.52, 1.19]","[3.32, 1.6, 1.33]"
O010,S001,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[2.75, 1.56, 1.47]"
O010,S001,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.29, 1.47]","[2.75, 1.56, 1.47]"
O010,S005,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.36, 2.0, 1.34]"
O010,S005,"('breadth_m', 'length_m', 'height_m')","[1.47, 1.68, 0.29]","[3.36, 2.0, 1.34]"
O010,S007,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.83, 1.94, 1.28]"
O010,S007,"('breadth_m', 'length_m', 'height_m')","[1.47, 1.68, 0.29]","[3.83, 1.94, 1.28]"
O010,S008,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.68, 1.48, 1.48]"
O010,S008,"('length_m', 'height_m', 'breadth_m')","[1.68, 0.29, 1.47]","[3.68, 1.48, 1.48]"
O010,S009,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.42, 1.66, 0.81]"
O010,S010,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[2.21, 1.63, 1.11]"
O010,S012,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.54, 1.52, 0.86]"
O010,S013,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.53, 1.89, 1.33]"
O010,S013,"('breadth_m', 'length_m', 'height_m')","[1.47, 1.68, 0.29]","[3.53, 1.89, 1.33]"
O010,S015,"('length_m', 'breadth_m', 'height_m')","[1.68, 1.47, 0.29]","[3.32, 1.6, 1.33]"
